785,Michael Ashley,256,2014,49,5.5
786,Thomas Schmidheiny,256,2014,68,5.5
794,Melker Schorling,263,2014,66,5.4
795,Sergei Popov,263,2014,42,5.4
796,Stephen Ross,263,2014,73,5.4
797,Terry Gou,263,2014,63,5.4
802,Americo Amorim,267,2014,79,5.3
803,Anders Holch Povlsen,267,2014,41,5.3
804,Stef Wertheimer,267,2014,87,5.3
808,Andrew Forrest,270,2014,52,5.2
809,Bidzina Ivanishvili,270,2014,58,5.2
810,Karl-Heinz Kipp,270,2014,90,5.2
811,Ken Griffin,270,2014,45,5.2
812,Kwee brothers,270,2014,69,5.2
813,Maria Asuncion Aramburuzabala,270,2014,50,5.2
814,Wee Cho Yaw,270,2014,85,5.2
843,Finn Rausing,278,2014,59,5.1
844,Jacqueline Desmarais,278,2014,85,5.1
845,Kirsten Rausing,278,2014,61,5.1
849,Anil Ambani,281,2014,54,5.0
850,Antonio Del Valle Ruiz,281,2014,75,5.0
851,Bruce Halle,281,2014,83,5.0
852,David Green,281,2014,72,5.0
853,Frederik Paulsen,281,2014,63,5.0
854,George Roberts,281,2014,70,5.0
855,Gordon Moore,281,2014,85,5.0
856,Harry Triguboff,281,2014,81,5.0
857,Henry Kravis,281,2014,70,5.0
858,Joe Lewis,281,2014,77,5.0
859,Micky Jagtiani,281,2014,62,5.0
860,Richard Branson,281,2014,63,5.0
861,Stein Erik Hagen,281,2014,57,5.0
862,Walter Kwok,281,2014,63,5.0
897,Albert Frere,295,2014,88,4.9
898,Cyrus Poonawalla,295,2014,72,4.9
899,Erivan Haub,295,2014,81,4.9
900,Frits Goldschmeding,295,2014,80,4.9
901,George Lucas,295,2014,69,4.9
902,Heinz-Horst Deichmann,295,2014,87,4.9
903,Kunio Busujima,295,2014,88,4.9
904,Robert Rowling,295,2014,60,4.9
905,Savitri Jindal,295,2014,63,4.9
906,Shashi and Ravi Ruia,295,2014,0,4.9
917,Abdulla bin Ahmad Al Ghurair,305,2014,0,4.8
918,Ann Walton Kroenke,305,2014,65,4.8
919,Bruce Kovner,305,2014,69,4.8
920,Daniel Ziff,305,2014,42,4.8
921,Dirk Ziff,305,2014,49,4.8
922,Gwendolyn Sontheim Meyer,305,2014,52,4.8
923,Juan Roig,305,2014,64,4.8
924,Karl Wlaschek,305,2014,96,4.8
925,Laurence Graff,305,2014,75,4.8
926,Liselott Persson,305,2014,64,4.8
927,Pauline MacMillan Keinath,305,2014,80,4.8
928,Robert Ziff,305,2014,47,4.8
929,Whitney MacMillan,305,2014,85,4.8
930,Zhang Zhidong,305,2014,42,4.8
969,Andrew Tan,319,2014,61,4.7
970,Arnon Milchan,319,2014,69,4.7
971,Frank Lowy,319,2014,83,4.7
972,Horst Paulmann,319,2014,79,4.7
973,Sergio Mantegazza,319,2014,86,4.7
974,Shari Arison,319,2014,56,4.7
981,Diane Hendricks,325,2014,67,4.6
982,Mike Adenuga,325,2014,60,4.6
983,Pierre Bellon,325,2014,84,4.6
987,David Sun,328,2014,62,4.5
988,Dieter Schnabel,328,2014,68,4.5
989,James Dyson,328,2014,66,4.5
990,Jay Y. Lee,328,2014,45,4.5
991,John A. Sobrato,328,2014,74,4.5
992,John Tu,328,2014,73,4.5
993,Kirk Kerkorian,328,2014,96,4.5
994,Lynn Schusterman,328,2014,75,4.5
995,Majid Al Futtaim,328,2014,0,4.5
996,Michael Herz,328,2014,70,4.5
997,Trevor Rees-Jones,328,2014,62,4.5
998,Wolfgang Herz,328,2014,63,4.5
1038,Barbara Carlson Gage,340,2014,71,4.4
1039,Guenter Herz & Family,340,2014,73,4.4
1040,Kelcy Warren,340,2014,58,4.4
1041,Luo Jye,340,2014,88,4.4
1042,Marilyn Carlson Nelson,340,2014,74,4.4
1048,Dan Olsson,345,2014,67,4.3
1049,Emanuele (Lino) Saputo,345,2014,77,4.3
1050,Guo Guangchang,345,2014,47,4.3
1051,Lee Shin Cheng,345,2014,74,4.3
1052,Liang Wengen,345,2014,57,4.3
1053,"Paul Tudor Jones, II.",345,2014,59,4.3
1054,Sam Zell,345,2014,72,4.3
1055,Samvel Karapetyan,345,2014,48,4.3
1056,Wang Chuanfu,345,2014,48,4.3
1066,Akira Mori,354,2014,77,4.2
1067,Bernard Ecclestone,354,2014,83,4.2
1068,Elizabeth Mohn,354,2014,73,4.2
1069,Enrique Razon,354,2014,54,4.2
1070,Friede Springer,354,2014,71,4.2
1071,Jeronimo Arango,354,2014,88,4.2
1072,Leonard Stern,354,2014,75,4.2
1073,Lin Rong San,354,2014,74,4.2
1074,Malcolm Glazer,354,2014,85,4.2
1075,Ralph Dommermuth,354,2014,50,4.2
1076,Ted Lerner,354,2014,88,4.2
1077,Wang Wenyin,354,2014,46,4.2
1078,William Ding,354,2014,42,4.2
1116,Anthony Bamford,367,2014,68,4.1
1117,Barry Lam,367,2014,64,4.1
1118,Beny Steinmetz,367,2014,57,4.1
1119,Eduardo Saverin,367,2014,31,4.1
1120,Francisco Ivens de Sa Dias Branco,367,2014,77,4.1
1121,Ingvar Kamprad,367,2014,87,4.1
1122,Nancy Walton Laurie,367,2014,62,4.1
1123,Shahid Khan,367,2014,63,4.1
1132,Arkady Rotenberg,375,2014,62,4.0
1133,Bertil Hult,375,2014,73,4.0
1134,Chairul Tanjung,375,2014,51,4.0
1135,Curt Engelhorn,375,2014,87,4.0
1136,David & Frederick Barclay,375,2014,80,4.0
1137,Erich Kellerhals,375,2014,75,4.0
1138,Gustaf Douglas,375,2014,76,4.0
1139,Gustavo Cisneros,375,2014,68,4.0
1140,John Morris,375,2014,65,4.0
1141,Lars Larsen,375,2014,65,4.0
1142,Lei Jun,375,2014,44,4.0
