Vladimir Yevtushenkov,RUS,Sistema/Sitronics,Chairman/founder,male
Carlos Alberto Sicupira,BRA,Ambev,founder,male
Alexei Kuzmichev,RUS,Alfa Group,founder,male
Dmitry Rybolovlev,RUS,Uralkali,owner,male
Elaine Marshall,USA,Koch industries,relation,female
Hasso Plattner,DEU,SAP AG,founder,male
Thomas Peterffy,USA,Interactive Brokers,"founder, chairman, ceo",male
Ludwig Merckle,DEU,Ratiopharm,relation,male
Antonia Johnson,SWE,Axel Johnson Group,relation,female
Donald Newhouse,USA,Advance Publications,relation,male
Galen Weston,CAN,George Weston Limited,relation,male
Hank & Doug Meijer,USA,Meijer,relation,male
Michael Kadoorie,HKG,CLP Holdings,relation,male
Elon Musk,USA,"Paypal, SpaceX, Tesla Motors",investor/founder,male
Joseph Lau,HKG,Chinese Estates Holdings,founder,male
August von Finck,DEU,"Allianz, Merk Finck & Co",relation,male
Ricardo Salinas Pliego,MEX,Grupo Salinas/Group Elektra,relation,male
Andrei Skoch,RUS,Metallionvest,partner,male
Pierre Omidyar,USA,Ebay,founder and chairman,male
Xavier Niel,FRA,Iliad,founder,male
Margarita Louis-Dreyfus,CHE,Louis-Dreyfus Goup,relation,female
Pierre Castel,FRA,Goupe Castel,founder,male
Emmanuel Besnier,FRA,Lactalis,relation,male
Blair Parry-Okeden,USA,Cox Enterprises,relation,female
David Duffield,USA,PeopleSoft,founder,male
Jean-Claude Decaux,FRA,JCDecaux,founder,male
Jim Kennedy,USA,Cox Enterprises,relation,male
Reinhold Wuerth,DEU,Adolf Wurth Group,relation,male
Jacques Servier,FRA,Laboratories Servier,founder,male
Johann Rupert,ZAF,Rembrandt Group,relation,male
R Budi Hartono,IDN,Djarum,relation,male
Tsai Wan-Tsai,Taiwan,Fubon Financial holding Company,founder,male
Charles Johnson,USA,Franklin Resources,relation,male
James Goodnight,USA,SAS institute,founder,male
John Malone,USA,Tele-Communications Inc,CEO,male
"John Menard, Jr.",USA,Menards,founder,male
Klaus Tschira,DEU,SAP AG,founder,male
Leonard Lauder,USA,Est?Lauder,relation,male
Vincent Bollore,FRA,Bollore,relation,male
Jim Pattison,CAN,Jim Pattison Group,founder CEO owner,male
Michael Hartono,IDN,Djarum,relation,male
Augusto & Giorgio Perfetti,ITA,Perfetti Van Melle,relation,male
Heinz Hermann Thiele,DEU,Knorr-Bremse AG,Chairman/shareholder,male
Johann Graf,AUT,Novomatic Automatenhandels AG,founder,male
Peter Woo,HKG,Worldwide Shipping Group,relation,male
He Xiangjian,CHN,Midea,founder,male
Dietmar Hopp,DEU,SAP AG,founder,male
Eyal Ofer,ISR,Zodiac Maritime Agencies,relation,male
Graeme Hart,NZL,Rank Group,founder,male
Kumar Birla,IND,Aditya Birla Group,relation,male
Ralph Lauren,USA,Ralph Lauren,founder,male
Charles Cadogan,GBR,Cadogan Estates,relation,male
Eli Broad,USA,"Kaufman and Broad, SunAmerica",founder,male
Richard DeVos,USA,Amway,founder,male
Suleiman Kerimov,RUS,Gazprom,investor,male
Wei Jianjun,CHN,Great Wall Motors,chairman,male
Yang Huiyan,CHN,Country Garden Holdings,relation,female
Chung Mong-Koo,KOR,Hyundai,relation,male
Dustin Moskovitz,USA,Facebook,founder,male
Jan Koum,USA,WhatsApp,founder,male
Nassef Sawiris,FIN,Orascom,relation,male
Nicky Oppenheimer,ZAF,De Beers,relation,male
Takemitsu Takizaki,JPN,Keyence,founder,male
James Packer,AUS,Consolidated Press Holdings Limited,relation,male
Leonid Fedun,RUS,Lukoil,Vice President,male
Micky Arison,USA,Carnival Corporation,relation,male
Oleg Deripaska,RUS,SibAl,founder,male
Eva Gonda Rivera,MEX,FEMSA,relation,female
Pansy Ho,HKG,Sociedade de Turismo e Divers?es de Macau,relation,female
Quek Leng Chan,MYS,Hong Leong Financial Group,founder,male
