491,Xavier Niel,founder non-finance,New Sectors,True,not inherited
495,Margarita Louis-Dreyfus,inherited,Resource Related,True,spouse/widow
497,Pierre Castel,founder non-finance,Traded Sectors,True,not inherited
506,Emmanuel Besnier,inherited,Traded Sectors,True,father
508,Blair Parry-Okeden,inherited,Non-Traded Sectors,True,3rd generation
509,David Duffield,founder non-finance,New Sectors,True,not inherited
510,Jean-Claude Decaux,founder non-finance,Non-Traded Sectors,True,not inherited
511,Jim Kennedy,inherited,Non-Traded Sectors,True,3rd generation
512,Reinhold Wuerth,executive,Traded Sectors,True,not inherited
518,Jacques Servier,founder non-finance,New Sectors,True,not inherited
519,Johann Rupert,inherited,Traded Sectors,True,father
520,R Budi Hartono,self-made finance,Financial,True,not inherited
521,Tsai Wan-Tsai,self-made finance,Financial,True,not inherited
531,Charles Johnson,inherited,Financial,True,father
532,James Goodnight,founder non-finance,New Sectors,True,not inherited
533,John Malone,executive,Non-Traded Sectors,True,not inherited
534,"John Menard, Jr.",founder non-finance,Non-Traded Sectors,True,not inherited
535,Klaus Tschira,founder non-finance,New Sectors,True,not inherited
536,Leonard Lauder,inherited,Traded Sectors,True,father
558,Vincent Bollore,inherited,Financial,True,3rd generation
560,Jim Pattison,self-made finance,Financial,True,not inherited
561,Michael Hartono,executive,Traded Sectors,True,not inherited
564,Augusto & Giorgio Perfetti,inherited,Traded Sectors,True,father
565,Heinz Hermann Thiele,executive,Traded Sectors,True,not inherited
566,Johann Graf,founder non-finance,Non-Traded Sectors,True,not inherited
567,Peter Woo,inherited,Financial,True,father
572,He Xiangjian,founder non-finance,Traded Sectors,True,not inherited
574,Dietmar Hopp,founder non-finance,New Sectors,True,not inherited
575,Eyal Ofer,inherited,Financial,True,father
576,Graeme Hart,self-made finance,Financial,True,not inherited
577,Kumar Birla,inherited,Resource Related,True,4th generation
578,Ralph Lauren,founder non-finance,Traded Sectors,True,not inherited
588,Charles Cadogan,inherited,Financial,True,5th generation or longer
589,Eli Broad,self-made finance,Financial,True,not inherited
590,Richard DeVos,founder non-finance,Traded Sectors,True,not inherited
591,Suleiman Kerimov,privatized and resources,Financial,True,not inherited
592,Wei Jianjun,privatized and resources,Traded Sectors,True,not inherited
593,Yang Huiyan,inherited,Financial,True,father
611,Chung Mong-Koo,inherited,Traded Sectors,True,father
612,Dustin Moskovitz,founder non-finance,New Sectors,True,not inherited
613,Jan Koum,founder non-finance,New Sectors,True,not inherited
617,Nassef Sawiris,inherited,Non-Traded Sectors,True,father
618,Nicky Oppenheimer,inherited,Resource Related,True,3rd generation
621,Takemitsu Takizaki,founder non-finance,New Sectors,True,not inherited
623,James Packer,inherited,Financial,True,3rd generation
624,Leonid Fedun,privatized and resources,Resource Related,True,not inherited
625,Micky Arison,inherited,Non-Traded Sectors,True,father
626,Oleg Deripaska,privatized and resources,Resource Related,True,not inherited
644,Eva Gonda Rivera,inherited,Traded Sectors,True,spouse/widow
645,Pansy Ho,inherited,Financial,True,father
646,Quek Leng Chan,self-made finance,Financial,True,not inherited
650,Dannine Avara,inherited,Traded Sectors,True,father
651,"Herbert Kohler, Jr.",inherited,Traded Sectors,True,3rd generation
652,Ivan Glasenberg,privatized and resources,Resource Related,True,not inherited
653,Milane Frantz,inherited,Traded Sectors,True,father
654,Paolo & Gianfelice Mario Rocca,inherited,Traded Sectors,True,3rd generation
655,Patrick Drahi,founder non-finance,Non-Traded Sectors,True,not inherited
656,Randa Williams,inherited,Traded Sectors,True,father
657,Scott Duncan,inherited,Traded Sectors,True,father
679,"Rupert Johnson, Jr.",inherited,Financial,True,father
680,S. Truett Cathy,founder non-finance,Non-Traded Sectors,True,not inherited
681,Sumner Redstone,inherited,Non-Traded Sectors,True,father
685,David Geffen,founder non-finance,Non-Traded Sectors,True,not inherited
686,Iskander Makhmudov,privatized and resources,Resource Related,True,not inherited
687,Lucio Tan,privatized and resources,Financial,True,not inherited
688,Pyotr Aven,privatized and resources,Resource Related,True,not inherited
689,Richard LeFrak,inherited,Financial,True,4th generation
690,Sandra Ortega Mera,inherited,Traded Sectors,True,father
691,"Thomas Frist, Jr.",founder non-finance,New Sectors,True,not inherited
716,Chan Laiwa,self-made finance,Financial,True,not inherited
717,Denis O'Brien,privatized and resources,Non-Traded Sectors,True,not inherited
718,Filaret Galchev,founder non-finance,Non-Traded Sectors,True,not inherited
719,Ira Rennert,self-made finance,Financial,True,not inherited
720,James Irving,inherited,Financial,True,3rd generation
721,Patrizio Bertelli,inherited,Traded Sectors,True,father
728,Charles Schwab,self-made finance,Financial,True,not inherited
729,Dennis Washington,founder non-finance,Non-Traded Sectors,True,not inherited
730,Gayle Cook,founder non-finance,New Sectors,True,not inherited
731,Leon Black,self-made finance,Financial,True,not inherited
736,Hui Ka Yan,self-made finance,Financial,True,not inherited
737,Hui Wing Mau,self-made finance,Financial,True,not inherited
738,Idan Ofer,inherited,Resource Related,True,father
739,Isak Andic,founder non-finance,Traded Sectors,True,not inherited
740,Jorn Rausing,inherited,0,True,3rd generation
741,Leslie Wexner,founder non-finance,Traded Sectors,True,not inherited
742,Patrick McGovern,founder non-finance,Non-Traded Sectors,True,not inherited
743,Sunil Mittal,founder non-finance,Non-Traded Sectors,True,not inherited
774,Ray Lee Hunt,inherited,Resource Related,True,father
775,Stanley Kroenke,founder non-finance,0,True,not inherited
776,Teh Hong Piow,self-made finance,Financial,True,not inherited
780,Arthur Irving,inherited,Resource Related,True,father
781,Bruno Schroder,inherited,Financial,True,4th generation
782,Carlos and Alejandro Bulgheroni,inherited,Resource Related,True,father
783,Jeffery Hildebrand,privatized and resources,Resource Related,True,not inherited
784,Liu Yongxing,founder non-finance,Traded Sectors,True,not inherited
785,Michael Ashley,founder non-finance,Non-Traded Sectors,True,not inherited
786,Thomas Schmidheiny,inherited,Non-Traded Sectors,True,4th generation
794,Melker Schorling,self-made finance,Financial,True,not inherited
795,Sergei Popov,self-made finance,Financial,True,not inherited
796,Stephen Ross,self-made finance,Financial,True,not inherited
797,Terry Gou,founder non-finance,New Sectors,True,not inherited
802,Americo Amorim,inherited,Resource Related,True,3rd generation
803,Anders Holch Povlsen,inherited,Non-Traded Sectors,True,father
804,Stef Wertheimer,founder non-finance,Traded Sectors,True,not inherited
808,Andrew Forrest,privatized and resources,Resource Related,True,not inherited
809,Bidzina Ivanishvili,privatized and resources,Financial,True,not inherited
810,Karl-Heinz Kipp,founder non-finance,Non-Traded Sectors,True,not inherited
811,Ken Griffin,self-made finance,Financial,True,not inherited
812,Kwee brothers,inherited,Financial,True,father
813,Maria Asuncion Aramburuzabala,inherited,Traded Sectors,True,3rd generation
814,Wee Cho Yaw,inherited,Financial,True,father
843,Finn Rausing,inherited,0,True,3rd generation
844,Jacqueline Desmarais,inherited,Financial,True,spouse/widow
845,Kirsten Rausing,inherited,Traded Sectors,True,3rd generation
849,Anil Ambani,inherited,Financial,True,not inherited
850,Antonio Del Valle Ruiz,executive,Traded Sectors,True,not inherited
851,Bruce Halle,founder non-finance,Traded Sectors,True,not inherited
852,David Green,founder non-finance,Non-Traded Sectors,True,not inherited
853,Frederik Paulsen,inherited,New Sectors,True,father
854,George Roberts,self-made finance,Financial,True,not inherited
855,Gordon Moore,founder non-finance,New Sectors,True,not inherited
856,Harry Triguboff,self-made finance,Financial,True,not inherited
857,Henry Kravis,self-made finance,Financial,True,not inherited
